Date,Time,Description,Type,Amount,Balance,Mode,Ref
09-Feb-24,16:13,POS ZEPTO BANGALORE,Debit,Rs. 617,465428.0,UPI,TXN574514
09/02/24,19:47,POS FLIPKART BANGALORE,Debit,3255,461992.0,UPI,TXN299836
09-Feb-24,20:14,UPI-SWIGGY3675@OKAXIS,Debit,₹181,465247.0,UPI,TXN272129
10/02/24,08:38,TWC INDIA,DR,379.00,460232.0,UPI,TXN404694
10-Feb-24,16:09,POS HP PETROL STATION,DR,627.00,456933.0,UPI,TXN349136
10 Feb 2024,16:59,BHIM SWIGGY,DR,₹504,461488.0,UPI,TXN871976
10 Feb 2024,17:20,POS UBER BANGALORE,Debit,398,460611.0,UPI,TXN574843
10/02/24,17:53,Amazon Pay India,DR,"2,592.00",457560.0,UPI,TXN268752
10 Feb 2024,19:44,UPI-MYNTRA@HDFCBANK,Debit,₹1678,455255.0,UPI,TXN879794
10-Feb-24,21:08,ROPPEN TRANSPORTATION,Debit,80,460152.0,UPI,TXN844618
10-Feb-24,22:53,POS SWIGGY-RESTAURANT,DR,₹479,461009.0,UPI,TXN506224
11/02/24,10:18,ROPPEN TRANSPORTATION,DR,Rs. 90,452467.0,UPI,TXN352023
11-Feb-24,12:04,RELIANCE JIO,DR,215,493875.0,UPI,TXN704201
11 Feb 2024,15:50,BESCOM ELEC BILL,Debit,₹1768,492107.0,UPI,TXN785197
2024-02-11,17:59,UPI-SWIGGY-1309@HDFCBANK,Debit,259.00,452849.0,UPI,TXN475479
11-Feb-24,19:55,UBER INDIA,DR,366,454889.0,UPI,TXN408467
11/02/24,20:33,POS SWIGGY BANGALORE,Debit,₹292,452557.0,UPI,TXN323717
11/02/24,23:04,AMAZON IN,Debit,"1,781.00",453108.0,UPI,TXN367403
12 Feb 2024,02:45,UPI-RAPIDO@OKAXIS,DR,Rs. 119,449888.0,UPI,TXN573039
12-Feb-24,03:14,POS MYNTRA,Debit,₹3026,445177.0,UPI,TXN804313
12/02/24,04:36,SWIGGY-INSTAMART,Debit,485,448203.0,UPI,TXN992819
12-Feb-24,04:53,NETFLIX ENTERTAINMENT,DR,Rs. 526,496719.0,UPI,TXN217301
12-Feb-24,13:01,UPI-UBER-5667@HDFCBANK,DR,₹339,449549.0,UPI,TXN627262
12-Feb-24,15:13,FSN E-COMMERCE,Debit,1273,450007.0,UPI,TXN883171
12/02/24,17:02,UBER SYSTEMS INDIA,Debit,Rs. 489,451978.0,UPI,TXN907921
12 Feb 2024,18:54,POS STARBUCKS BANGALORE,Debit,₹371,448688.0,UPI,TXN682032
2024-02-12,20:19,BHIM SWIGGY,DR,Rs. 490,449059.0,UPI,TXN243006
12/02/24,20:28,UPI-BLINKIT-2630@PAYTM,DR,698,451280.0,UPI,TXN664107
13 Feb 2024,09:34,UPI-RESTAURANT-7678@PAYTM,DR,702.00,440731.0,UPI,TXN906564
13-Feb-24,11:22,ATM-WDL-HDFC-4942,DR,₹5000,-746917.0,ATM,TXN271319
13-Feb-24,18:09,Uber*Trip,DR,429.00,444399.0,UPI,TXN771967
13-Feb-24,20:08,Amazon Pay India,DR,₹2966,441433.0,UPI,TXN394247
2024-02-13,20:31,UPI-SWIGGY1616@OKAXIS,DR,Rs. 349,444828.0,UPI,TXN746281
14/02/24,09:36,UPI-NEHA-9795@OKAXIS,Debit,"2,425.00",-766586.0,UPI,TXN668178
14/02/24,11:13,FLIPKART INDIA,DR,"Rs. 2,719",435759.0,UPI,TXN700067
2024-02-14,12:58,SWIGGY-INSTAMART,DR,₹294,438786.0,UPI,TXN273650
14/02/24,13:34,RELIANCE JIO,Debit,Rs. 475,440256.0,UPI,TXN194952
14-Feb-24,15:42,INSTAMART BANGALORE,DR,Rs. 424,439832.0,UPI,TXN476224
2024-02-14,18:17,ZOMATO BENGALURU,DR,Rs. 308,438478.0,UPI,TXN218844
2024-02-14,19:06,BUNDL Tech P L,Debit,540.00,439080.0,UPI,TXN976052
2024-02-14,20:14,BUNDL Tech P L,Debit,212,439620.0,UPI,TXN148693
15 Feb 2024,04:56,UPI-SPOTIFY-IN@AXIS,Debit,119,496600.0,UPI,TXN658582
15 Feb 2024,05:24,OLA CABS,Debit,317.00,434278.0,UPI,TXN286040
15 Feb 2024,14:02,UPI-AMAZONPAY@HDFCBANK,DR,"4,373.00",429905.0,UPI,TXN780768
15/02/24,20:10,BIGTREE ENTERTAINMENT,Debit,474.00,434595.0,UPI,TXN575497
15 Feb 2024,22:33,ZOMATO-DINING,Debit,₹690,435069.0,UPI,TXN735988
16/02/24,07:40,BHIM-BMTC,Debit,₹10,424326.0,UPI,TXN139589
16-Feb-24,10:23,UPI-RAPIDO@OKAXIS,Debit,62,425573.0,UPI,TXN516760
16-Feb-24,11:50,UPI-STARBUCKS@AXIS,Debit,Rs. 467,425106.0,UPI,TXN244775
16 Feb 2024,19:47,POS TRUFFLES,Debit,770.00,424336.0,UPI,TXN817817
2024-02-16,20:44,AMAZON IN,DR,₹3764,426141.0,UPI,TXN903061
2024-02-16,21:18,UPI-ZOMATO4177@OKICICI,DR,Rs. 506,425635.0,UPI,TXN315397
17/02/24,08:52,UPI-BESCOM-BILL@HDFCBANK,Debit,"Rs. 1,366",420565.0,UPI,TXN685766
2024-02-17,09:41,BIGBASKET BANGALORE,Debit,₹1517,422809.0,UPI,TXN788793
2024-02-17,11:52,UPI-AMAZONPAY@HDFCBANK,DR,13674,-611841.0,UPI,TXN649317
17/02/24,12:12,INNOVATIVE RETAIL,Debit,₹518,422291.0,UPI,TXN265092
2024-02-17,12:25,SWIGGY-INSTAMART,DR,360.00,421931.0,UPI,TXN686273
17-Feb-24,12:34,POS INSTAMART,DR,₹189,419114.0,UPI,TXN429119
17-Feb-24,13:07,BUNDL Tech P L,Debit,591.00,419974.0,UPI,TXN894268
17-Feb-24,20:43,BHIM-BLINKIT,DR,₹671,419303.0,UPI,TXN431067
17/02/24,21:17,BLINKIT BANGALORE,DR,387,418727.0,UPI,TXN976960
18-Feb-24,03:06,POS DINEOUT,Debit,₹1714,412890.0,UPI,TXN477808
2024-02-18,08:58,POS SWIGGY-RESTAURANT,Debit,Rs. 220,418507.0,UPI,TXN702427
18-Feb-24,09:09,Amazon Pay India,Debit,"Rs. 1,475",414604.0,UPI,TXN689444
18-Feb-24,10:25,TATA STARBUCKS,DR,363,416079.0,UPI,TXN682316
2024-02-18,17:48,UPI-RESTAURANT-3715@PAYTM,Debit,"Rs. 1,346",417161.0,UPI,TXN626883
2024-02-18,18:16,BHIM ZEPTO,DR,₹341,416442.0,UPI,TXN834750
18-Feb-24,21:49,GROFERS INDIA P L,DR,Rs. 378,416783.0,UPI,TXN205641
19 Feb 2024,06:01,UPI-BIGBASKET@HDFCBANK,DR,₹1293,411597.0,UPI,TXN440881
2024-02-19,09:25,UPI-STARBUCKS@AXIS,Debit,272,410700.0,UPI,TXN208976
2024-02-19,10:41,ZOMATO-DINING,DR,₹676,410024.0,UPI,TXN136862
19-Feb-24,14:47,UPI-RAPIDO@OKAXIS,DR,149,411448.0,UPI,TXN542306
19-Feb-24,16:54,UPI-UBER-1232@HDFCBANK,Debit,Rs. 176,411272.0,UPI,TXN566509
19-Feb-24,20:20,RAPIDO BIKE TAXI,DR,Rs. 156,409868.0,UPI,TXN885290
19-Feb-24,20:47,POS CAFE COFFEE DAY,DR,300,410972.0,UPI,TXN834733
20-Feb-24,03:08,STAR INDIA PVT LTD,DR,"Rs. 1,272",495328.0,UPI,TXN804314
20/02/24,05:48,AMZN-INTPYMT,DR,₹2477,405673.0,UPI,TXN767830
2024-02-20,08:09,BMTC BUS PASS,Debit,10.00,401383.0,UPI,TXN446290
20 Feb 2024,10:00,POS ZEPTO BANGALORE,Debit,₹711,408150.0,UPI,TXN183057
20/02/24,10:44,AMAZON IN,DR,₹4280,401393.0,UPI,TXN559713
2024-02-20,15:40,POS OLA-PRIME,Debit,₹393,409475.0,UPI,TXN418319
20/02/24,18:48,POS SWIGGY BANGALORE,Debit,614.00,408861.0,UPI,TXN936726
20 Feb 2024,20:09,BUNDL Tech P L,Debit,208,401175.0,UPI,TXN227885
21-Feb-24,02:31,POS NYKAA BANGALORE,Debit,₹1353,398709.0,UPI,TXN496119
21/02/24,02:36,POS FLIPKART BANGALORE,Debit,"2,928.00",393661.0,UPI,TXN113721
2024-02-21,03:46,INNOVATIVE RETAIL,DR,₹536,400614.0,UPI,TXN799080
21/02/24,08:40,POS ZOMATO,DR,₹422,400192.0,UPI,TXN921533
2024-02-21,08:57,GROFERS INDIA P L,DR,Rs. 240,398469.0,UPI,TXN591147
21/02/24,09:01,POS BLINKIT,Debit,834.00,396918.0,UPI,TXN902930
2024-02-21,12:28,TUMMOC-BMTC,DR,25.00,401150.0,UPI,TXN427270
2024-02-21,12:28,TUMMOC-BMTC,DR,25.00,401150.0,UPI,TXN427270
21/02/24,17:20,POS OLA-PRIME,DR,₹329,396589.0,UPI,TXN212255
21/02/24,18:09,UPI-RAPIDO@OKAXIS,DR,130.00,400062.0,UPI,TXN835395
2024-02-21,21:58,ZEPTO MARKETPLACE,Debit,717.00,397752.0,UPI,TXN630535
22/02/24,03:18,UPI-SWIGGY-5933@HDFCBANK,DR,Rs. 485,390692.0,UPI,TXN909000
22-Feb-24,11:25,POS ZOMATO,Debit,458,391708.0,UPI,TXN985893
2024-02-22,12:02,UPI-RESTAURANT-0251@PAYTM,DR,₹444,392591.0,UPI,TXN651752
22/02/24,12:19,UPI-ZOMATO3977@OKICICI,Debit,247,389012.0,UPI,TXN823092
22-Feb-24,16:11,Uber*Trip,Debit,Rs. 425,392166.0,UPI,TXN209159
22 Feb 2024,18:56,UPI-ZOMATO-LIMITED@PAYTM,Debit,626.00,393035.0,UPI,TXN161132
22/02/24,19:17,POS MEGHANA FOODS,Debit,₹1433,389259.0,UPI,TXN710434
2024-02-22,20:06,UPI-RAPIDO@OKAXIS,Debit,111,388901.0,UPI,TXN536754
2024-02-22,20:27,BHIM-BLINKIT,Debit,Rs. 531,391177.0,UPI,TXN516379
23-Feb-24,04:25,UPI-OLACABS@HDFCBANK,Debit,Rs. 254,387998.0,UPI,TXN783932
23/02/24,07:43,RAPIDO BIKE TAXI,Debit,Rs. 135,388252.0,UPI,TXN598969
23-Feb-24,12:38,UPI-BLINKIT-7138@PAYTM,Debit,Rs. 871,386739.0,UPI,TXN957915
23/02/24,16:47,OLA CABS,DR,Rs. 388,387610.0,UPI,TXN483010
23/02/24,18:24,UPI-RAPIDO@OKAXIS,Debit,169.00,385323.0,UPI,TXN108739
23 Feb 2024,19:09,ZOMATO MEDIA P L,DR,587,386152.0,UPI,TXN114400
23 Feb 2024,19:42,UPI-SWIGGY8086@OKAXIS,DR,Rs. 616,384707.0,UPI,TXN844162
2024-02-23,20:19,GROFERS INDIA P L,Debit,660.00,385492.0,UPI,TXN248213
2024-02-23,20:47,UPI-SWIGGY-6605@HDFCBANK,Debit,₹514,388387.0,UPI,TXN626806
24-Feb-24,12:36,RAPIDO BIKE TAXI,DR,74.00,381238.0,UPI,TXN817276
24 Feb 2024,17:01,FKART INTRNET,Debit,"1,720.00",382747.0,UPI,TXN505977
2024-02-24,19:01,DISNEY HOTSTAR,Debit,"1,435.00",381312.0,UPI,TXN755910
24/02/24,21:34,ZEPTO MARKETPLACE,DR,Rs. 240,384467.0,UPI,TXN449773
25-Feb-24,04:28,AMAZON PRIME VIDEO,DR,₹1238,494090.0,UPI,TXN842225
25-Feb-24,06:49,UPI-BIGBASKET@HDFCBANK,DR,₹834,378778.0,UPI,TXN127351
2024-02-25,13:45,POS DINEOUT,DR,"1,372.00",379866.0,UPI,TXN854388
25-Feb-24,13:56,UPI-SWIGGY-7844@HDFCBANK,Debit,254,379612.0,UPI,TXN767782
2024-02-25,15:48,UPI-SWIGGY-1487@HDFCBANK,Debit,Rs. 502,375549.0,UPI,TXN742917
2024-02-25,15:56,UPI-OLACABS@HDFCBANK,DR,Rs. 480,376051.0,UPI,TXN870881
25/02/24,16:00,POS ZOMATO,DR,673,377768.0,UPI,TXN560623
2024-02-25,17:20,POS DINEOUT,Debit,1237,376531.0,UPI,TXN699716
2024-02-25,19:30,BHIM-BLINKIT,Debit,₹337,378441.0,UPI,TXN302647
26-Feb-24,07:08,UPI-UBER-6248@HDFCBANK,DR,Rs. 243,373348.0,UPI,TXN327408
26 Feb 2024,08:02,BHIM-BLINKIT,Debit,₹883,372119.0,UPI,TXN398194
26-Feb-24,13:42,UPI-BESCOM-BILL@HDFCBANK,Debit,1107,373591.0,UPI,TXN402808
26/02/24,14:26,UPI-OLACABS@HDFCBANK,DR,₹346,373002.0,UPI,TXN785010
26-Feb-24,17:05,TUMMOC-BMTC,Debit,₹43,374698.0,UPI,TXN279185
26-Feb-24,18:38,Uber*Trip,DR,Rs. 433,371686.0,UPI,TXN497346
26-Feb-24,19:45,ZOMATO BENGALURU,DR,₹658,374741.0,UPI,TXN219710
2024-02-26,20:09,POS BANGALORE RESTAURANT,DR,"8,383.00",-567033.0,UPI,TXN308266
2024-02-26,20:53,POS BANGALORE RESTAURANT,Debit,"1,427.00",370259.0,UPI,TXN741784
2024-02-26,21:29,UPI-RAPIDO@OKAXIS,DR,Rs. 150,375399.0,UPI,TXN126122
2024-02-27,00:01,POS INDIAN OIL BANGALORE,DR,"1,452.00",368457.0,UPI,TXN768470
27 Feb 2024,12:49,UPI-NEHA-5906@OKAXIS,DR,"Rs. 1,860",-717945.0,UPI,TXN517326
27 Feb 2024,17:59,OLA ELECTRIC,DR,₹186,369909.0,UPI,TXN404598
27/02/24,19:44,POS ZOMATO,DR,Rs. 344,368113.0,UPI,TXN515287
27-Feb-24,23:33,ANI Technologies,Debit,Rs. 164,370095.0,UPI,TXN650912
28-Feb-24,02:11,UBER SYSTEMS INDIA,DR,Rs. 239,367874.0,UPI,TXN757667
28/02/24,04:23,MYNTRA DESIGNS,DR,653,362191.0,UPI,TXN868020
28-Feb-24,04:43,POS NYKAA BANGALORE,Debit,1758,363121.0,UPI,TXN698717
28/02/24,07:12,DISNEY HOTSTAR,DR,₹885,360503.0,UPI,TXN753205
2024-02-28,07:20,UPI-NETFLIX-MEMB@HDFCBANK,DR,272.00,361919.0,UPI,TXN647718
2024-02-28,08:07,POS OLA-PRIME,Debit,277,362844.0,UPI,TXN326639
28/02/24,13:02,BHIM SWIGGY,Debit,531.00,361388.0,UPI,TXN769883
28-Feb-24,20:57,Amazon Pay India,Debit,"2,995.00",364879.0,UPI,TXN682145
2024-02-29,01:07,POS FLIPKART BANGALORE,DR,"Rs. 1,739",357261.0,UPI,TXN848969
29-Feb-24,03:30,UPI-AMAZONPAY@HDFCBANK,Debit,Rs. 663,359497.0,UPI,TXN957150
29 Feb 2024,10:41,POS THIRD WAVE COFFEE,DR,Rs. 218,357043.0,UPI,TXN457264
29-Feb-24,13:14,BHIM-BMTC,Debit,24,359000.0,UPI,TXN575301
2024-02-29,18:35,BUNDL Tech P L,DR,343,360160.0,UPI,TXN666836
29-Feb-24,20:27,ZOMATO-DINING,DR,601.00,356442.0,UPI,TXN977394
29/02/24,20:51,UPI-ZOMATO-LIMITED@PAYTM,Debit,Rs. 473,359024.0,UPI,TXN775721
01/03/24,01:41,POS SWIGGY BANGALORE,DR,188,354352.0,UPI,TXN578180
2024-03-01,09:35,NEFT-TECHCRUSH LABS-SALARY MAY24,CR,"Rs. 84,701",576808.0,NEFT,TXN214576
01 Mar 2024,13:24,BHIM ZEPTO,Debit,₹595,354540.0,UPI,TXN802615
2024-03-01,13:35,ANI Technologies,Debit,169.00,356273.0,UPI,TXN164468
2024-03-01,17:03,BHIM-BLINKIT,DR,200.00,355135.0,UPI,TXN755584
01 Mar 2024,20:43,KIRANAKART TECH,Debit,461,355335.0,UPI,TXN165442
01/03/24,20:56,UPI-SWIGGY-7642@HDFCBANK,Debit,477.00,355796.0,UPI,TXN431976
02-Mar-24,01:46,IMPS ZERODHA-COIN,DR,"Rs. 15,000",338420.0,UPI,TXN707784
02-Mar-24,01:59,POS ZEPTO BANGALORE,DR,761.00,336962.0,UPI,TXN405925
2024-03-02,02:21,UPI-ZEPTO-4547@HDFCBANK,Debit,697,337723.0,UPI,TXN408929
02-Mar-24,05:09,BLINKIT BANGALORE,Debit,₹809,335271.0,UPI,TXN705822
2024-03-02,10:41,UPI-STARBUCKS@AXIS,DR,355.00,334916.0,UPI,TXN597643
2024-03-02,11:37,POS SWIGGY BANGALORE,DR,558.00,336080.0,UPI,TXN134697
02-Mar-24,11:58,AMAZON IN,Debit,18273,-558650.0,UPI,TXN228115
02-Mar-24,12:32,POS TRUFFLES,Debit,₹851,353420.0,UPI,TXN604923
02/03/24,15:18,UPI-THIRDWAVE@OKAXIS,Debit,₹324,336638.0,UPI,TXN877444
2024-03-02,21:39,RAPIDO BIKE TAXI,DR,₹81,354271.0,UPI,TXN622355
03/03/24,00:00,UPI-ZEPTO-4563@HDFCBANK,Debit,₹219,331958.0,UPI,TXN749485
03 Mar 2024,10:18,FSN E-COMMERCE,Debit,"Rs. 2,238",332678.0,UPI,TXN783740
03/03/24,13:12,IMPS-RENT-LANDLORD-51148088,DR,18000,558808.0,IMPS,TXN976638
2024-03-03,13:17,UPI-RESTAURANT-6377@PAYTM,DR,501.00,332177.0,UPI,TXN288656
2024-03-03,22:42,Swiggy*Order,DR,637.00,331321.0,UPI,TXN779378
03-Mar-24,22:57,OLA CABS,Debit,176.00,331145.0,UPI,TXN800007
04-Mar-24,08:31,UBER INDIA,Debit,₹195,330517.0,UPI,TXN176461
2024-03-04,08:34,COFFEE DAY GLOBAL,DR,241,329497.0,UPI,TXN456581
04/03/24,09:04,UPI-ZEPTO-3309@HDFCBANK,Debit,₹433,330712.0,UPI,TXN310416
04/03/24,15:49,ANI Technologies,DR,371,329738.0,UPI,TXN957710
04/03/24,16:12,POS TRUFFLES,DR,₹7441,-472880.0,UPI,TXN830484
04/03/24,16:53,UPI-ZEPTO-0070@HDFCBANK,DR,610.00,325248.0,UPI,TXN648530
04 Mar 2024,17:49,Swiggy*Order,Debit,328.00,329169.0,UPI,TXN476712
04/03/24,20:49,UPI-SWIGGY-8169@HDFCBANK,Debit,408.00,330109.0,UPI,TXN510339
2024-03-04,21:28,FLIPKART INDIA,Debit,"3,311.00",325858.0,UPI,TXN774661
05/03/24,05:19,UPI-ZOMATO-LIMITED@PAYTM,DR,620.00,324534.0,UPI,TXN745533
05 Mar 2024,09:51,AMZN PRIME,DR,"1,153.00",322350.0,UPI,TXN139448
2024-03-05,14:21,UPI-CCD@HDFCBANK,DR,166,323996.0,UPI,TXN142675
05/03/24,20:09,UPI-RAPIDO@OKAXIS,DR,94.00,325154.0,UPI,TXN115063
2024-03-05,20:27,ZOMATO MEDIA P L,DR,372,324162.0,UPI,TXN323589
05 Mar 2024,20:40,SWIGGY-INSTAMART,DR,493.00,323503.0,UPI,TXN722571
05 Mar 2024,21:33,UPI-AMAZONPAY@HDFCBANK,Debit,"19,917.00",-465439.0,UPI,TXN674071
05 Mar 2024,21:33,UPI-AMAZONPAY@HDFCBANK,Debit,"19,917.00",-465439.0,UPI,TXN674071
06-Mar-24,04:21,AMZN-INTPYMT,DR,"2,051.00",315359.0,UPI,TXN340860
2024-03-06,11:40,FLIPKART INDIA,Debit,₹3000,319300.0,UPI,TXN145209
06 Mar 2024,14:13,BUNDL Tech P L,DR,₹402,318898.0,UPI,TXN923648
06/03/24,15:29,ZOMATO BENGALURU,DR,₹568,317410.0,UPI,TXN588148
06-Mar-24,17:05,BMTC BUS PASS,DR,50,322300.0,UPI,TXN665940
06/03/24,18:04,Swiggy*Order,Debit,₹638,318260.0,UPI,TXN338846
06/03/24,20:55,SWIGGY-INSTAMART,Debit,282,317978.0,UPI,TXN577092
2024-03-06,22:21,UPI-VIKAS-5416@OKAXIS,Debit,"1,860.00",-701388.0,UPI,TXN249522
2024-03-07,00:42,UPI-BOOKMYSHOW@HDFCBANK,Debit,₹562,311487.0,UPI,TXN837290
07/03/24,10:02,UPI-ZERODHA-COIN@AXIS,DR,₹15000,543808.0,UPI,TXN509386
07 Mar 2024,12:21,POS BPCL PETROL PUMP,DR,₹7366,-338165.0,UPI,TXN767155
2024-03-07,14:09,UPI-HOTSTAR@AXIS,DR,"Rs. 1,473",312375.0,UPI,TXN949049
07/03/24,17:13,POS TRUFFLES,DR,"Rs. 1,511",313848.0,UPI,TXN333210
07/03/24,18:28,UPI-THIRDWAVE@OKAXIS,DR,₹326,312049.0,UPI,TXN779099
08/03/24,00:23,AMAZONIN MARKETPLACE,Debit,₹1685,308194.0,UPI,TXN601736
08 Mar 2024,08:25,ATM-WDL-HDFC-9140,DR,"Rs. 2,000",-741917.0,ATM,TXN849646
08/03/24,10:29,TWC INDIA,DR,380.00,311107.0,UPI,TXN831963
08-Mar-24,12:53,Amazon Pay India,Debit,1255,306612.0,UPI,TXN948083
08 Mar 2024,13:50,AVENUE SUPERMARTS,Debit,₹1228,309879.0,UPI,TXN483349
08/03/24,17:55,POS STARBUCKS BANGALORE,Debit,₹327,307867.0,UPI,TXN461996
08/03/24,21:12,POS INDIAN OIL BANGALORE,DR,₹1437,305175.0,UPI,TXN255141
2024-03-09,02:51,UPI-ZOMATO6436@OKICICI,Debit,318.00,304647.0,UPI,TXN655919
09 Mar 2024,09:50,ATM-WDL-SBI-4080,Debit,₹5000,-729544.0,ATM,TXN970962
09/03/24,12:10,POS SWIGGY BANGALORE,DR,₹496,302690.0,UPI,TXN432006
2024-03-09,12:40,NETFLIX.COM,Debit,210.00,304965.0,UPI,TXN405677
2024-03-09,13:23,OLA CABS,Debit,214,302476.0,UPI,TXN659565
09 Mar 2024,16:19,POS DINEOUT,Debit,"1,461.00",303186.0,UPI,TXN149617
09-Mar-24,22:25,ZEPTO MARKETPLACE,Debit,₹661,301815.0,UPI,TXN403905
10-Mar-24,01:37,UPI-IOC0494@HDFCBANK,Debit,"2,048.00",297886.0,UPI,TXN243578
2024-03-10,01:47,BMS MOVIE TICKETS,DR,620.00,296258.0,UPI,TXN118397
10-Mar-24,02:39,Swiggy*Order,DR,610.00,300910.0,UPI,TXN305222
2024-03-10,10:03,UPI-RESTAURANT-4630@PAYTM,Debit,599,295659.0,UPI,TXN473276
10/03/24,13:24,BHIM-BMTC,DR,33,300351.0,UPI,TXN877548
10 Mar 2024,18:28,BHIM SWIGGY,DR,Rs. 526,300384.0,UPI,TXN255132
10/03/24,19:18,BMS MOVIE TICKETS,DR,Rs. 417,299934.0,UPI,TXN650818
10/03/24,21:18,ZOMATO-DINING,Debit,483.00,297403.0,UPI,TXN261505
10/03/24,22:53,ZOMATO-DINING,DR,525.00,296878.0,UPI,TXN617000
10 Mar 2024,23:42,POS STARBUCKS BANGALORE,Debit,₹295,301520.0,UPI,TXN677723
2024-03-11,03:13,INNOVATIVE RETAIL,DR,766,293841.0,UPI,TXN222227
2024-03-11,09:44,POS THIRD WAVE COFFEE,Debit,Rs. 376,294607.0,UPI,TXN456844
11 Mar 2024,18:04,ZEPTO MARKETPLACE,Debit,676,294983.0,UPI,TXN818240
11 Mar 2024,20:34,BESCOM ELEC BILL,Debit,₹2240,539235.0,UPI,TXN240814
2024-03-12,04:22,IMPS ZERODHA-COIN,DR,"Rs. 15,000",271860.0,UPI,TXN619900
12/03/24,04:59,NETFLIX.COM,Debit,₹600,543208.0,UPI,TXN161324
2024-03-12,08:10,AVENUE SUPERMARTS,DR,"2,430.00",287558.0,UPI,TXN395548
12/03/24,11:19,BIGBASKET BANGALORE,Debit,"Rs. 1,865",291976.0,UPI,TXN880623
12-Mar-24,12:54,POS DINEOUT,Debit,"1,721.00",290255.0,UPI,TXN181511
12-Mar-24,16:35,UPI-CCD@HDFCBANK,Debit,334,271526.0,UPI,TXN336845
12 Mar 2024,17:27,Swiggy*Order,DR,₹201,290054.0,UPI,TXN416298
12/03/24,19:50,ROPPEN TRANSPORTATION,DR,66.00,289988.0,UPI,TXN390849
12-Mar-24,20:00,ZOMATO MEDIA P L,Debit,₹698,286860.0,UPI,TXN806242
13-Mar-24,00:11,AMAZONIN MARKETPLACE,DR,"Rs. 2,732",263449.0,UPI,TXN680684
2024-03-13,10:25,BHIM SWIGGY,DR,535.00,270770.0,UPI,TXN523927
13/03/24,12:09,UPI-IOC1246@HDFCBANK,DR,"2,072.00",268263.0,UPI,TXN970645
2024-03-13,12:34,Flipkart Internet,DR,"Rs. 1,707",266181.0,UPI,TXN494617
13-Mar-24,19:11,UPI-SWIGGY1600@OKAXIS,Debit,₹375,267888.0,UPI,TXN794255
2024-03-13,21:12,KIRANAKART TECH,DR,Rs. 221,271305.0,UPI,TXN809381
2024-03-13,21:46,BUNDL Tech P L,Debit,435.00,270335.0,UPI,TXN524089
14/03/24,03:15,INSTAMART BANGALORE,Debit,₹433,262449.0,UPI,TXN664570
14/03/24,04:53,UPI-SWIGGY8576@OKAXIS,Debit,Rs. 367,262882.0,UPI,TXN474725
14-Mar-24,06:21,POS BANGALORE RESTAURANT,DR,Rs. 859,260342.0,UPI,TXN943187
2024-03-14,07:31,ZEPTO MARKETPLACE,Debit,Rs. 252,261615.0,UPI,TXN621091
14-Mar-24,14:54,OLA ELECTRIC,Debit,₹200,263249.0,UPI,TXN164407
14 Mar 2024,14:55,BHIM ZEPTO,DR,Rs. 582,261867.0,UPI,TXN509260
2024-03-14,15:33,POS INDIAN OIL BANGALORE,DR,"Rs. 10,505",-404618.0,UPI,TXN631778
14-Mar-24,20:34,ATM-WDL-HDFC-8030,DR,"Rs. 1,000",-767586.0,ATM,TXN854124
14-Mar-24,22:04,UBER INDIA,DR,414,261201.0,UPI,TXN852570
15/03/24,06:47,SPOTIFY*PREMIUM,DR,Rs. 119,543089.0,UPI,TXN992697
15-Mar-24,08:09,MYNTRA DESIGNS,DR,1484,258362.0,UPI,TXN379901
15 Mar 2024,08:52,POS OLA-PRIME,Debit,359.00,259846.0,UPI,TXN162790
15-Mar-24,10:26,RAPIDO BIKE TAXI,DR,Rs. 137,260205.0,UPI,TXN295600
2024-03-15,19:16,POS MEGHANA FOODS,Debit,"1,706.00",256656.0,UPI,TXN557318
15-Mar-24,21:12,AMZN-INTPYMT,DR,₹1555,255101.0,UPI,TXN857568
2024-03-16,08:47,BHIM SWIGGY,Debit,₹436,254325.0,UPI,TXN728958
2024-03-16,15:40,ZOMATO MEDIA P L,Debit,690,251832.0,UPI,TXN512064
16-Mar-24,19:52,UPI-BLINKIT-6907@PAYTM,DR,515.00,252522.0,UPI,TXN351318
16/03/24,20:21,SWIGGY-INSTAMART,DR,606,253719.0,UPI,TXN560823
16 Mar 2024,21:03,POS INSTAMART,DR,682,253037.0,UPI,TXN251950
2024-03-16,21:05,BUNDL Tech P L,DR,340,254761.0,UPI,TXN983687
2024-03-17,03:11,NETFLIX ENTERTAINMENT,DR,Rs. 550,249202.0,UPI,TXN975224
17-Mar-24,05:01,AMZN PRIME,Debit,₹1322,247880.0,UPI,TXN520515
17-Mar-24,05:10,BHIM ZEPTO,Debit,Rs. 405,249752.0,UPI,TXN601602
17-Mar-24,07:59,BWSSB WATER BILL,Debit,₹491,251341.0,UPI,TXN183985
17 Mar 2024,08:55,BMTC BUS PASS,DR,₹27,247668.0,UPI,TXN810083
17-Mar-24,11:50,UPI-ZOMATO-LIMITED@PAYTM,Debit,274.00,247394.0,UPI,TXN189903
17/03/24,16:20,TUMMOC-BMTC,DR,₹39,250157.0,UPI,TXN420389
17 Mar 2024,17:09,UBER SYSTEMS INDIA,Debit,Rs. 185,247695.0,UPI,TXN335388
2024-03-17,22:30,UPI-RESTAURANT-7888@PAYTM,Debit,"Rs. 1,145",250196.0,UPI,TXN731364
18/03/24,08:38,UPI-AMAZONPAY@HDFCBANK,Debit,622,246389.0,UPI,TXN143122
